Dataset Atlas Type Value
SWU4 AAL Ipsi 0.44766014246823954
SWU4 AAL Ipsi 0.357094516031458
SWU4 AAL Ipsi 0.36805506503327273
SWU4 AAL Ipsi 0.2400017395644283
SWU4 AAL Ipsi 0.3563451639443436
SWU4 AAL Ipsi 0.27302602510586815
SWU4 AAL Ipsi 0.23025142528735634
SWU4 AAL Ipsi 0.2994534171203872
SWU4 AAL Ipsi 0.28009743738656984
SWU4 AAL Ipsi 0.2751969915305505
SWU4 AAL Ipsi 0.3487205211736237
SWU4 AAL Ipsi 0.32388436509376894
SWU4 AAL Ipsi 0.263288871445856
SWU4 AAL Ipsi 0.2525108656987296
SWU4 AAL Ipsi 0.30387094010889293
SWU4 AAL Hom 0.49510117543859644
SWU4 AAL Hom 0.37542785964912284
SWU4 AAL Hom 0.3344745087719298
SWU4 AAL Hom 0.34462568421052636
SWU4 AAL Hom 0.43511242105263154
SWU4 AAL Hom 0.4704328245614035
SWU4 AAL Hom 0.3851250526315789
SWU4 AAL Hom 0.458935947368421
SWU4 AAL Hom 0.3759625789473684
SWU4 AAL Hom 0.4661513684210526
SWU4 AAL Hom 0.3610517894736842
SWU4 AAL Hom 0.4584006140350877
SWU4 AAL Hom 0.37182329824561394
SWU4 AAL Hom 0.4123255789473685
SWU4 AAL Hom 0.3443846315789474
SWU4 AAL Hom 0.5340236842105264
SWU4 AAL Hom 0.42927522807017543
SWU4 AAL Hom 0.4321961403508772
SWU4 AAL Hom 0.3688681052631579
SWU4 AAL Hom 0.5143238771929824
SWU4 AAL Hom 0.40148640350877196
SWU4 AAL Hom 0.43942103508771935
SWU4 AAL Hom 0.4319911929824561
SWU4 AAL Hom 0.47947743859649117
SWU4 AAL Hom 0.4328805789473684
SWU4 AAL Hom 0.5183848245614034
SWU4 AAL Hom 0.35938945614035084
SWU4 AAL Hom 0.47666273684210525
SWU4 AAL Hom 0.49942263157894734
SWU4 AAL Hom 0.41957066666666665
SWU4 AAL Hom 0.40249905263157887
SWU4 AAL Hom 0.5509810526315789
SWU4 AAL Hom 0.5121507719298246
SWU4 AAL Hom 0.491872298245614
SWU4 AAL Hom 0.3913520175438596
SWU4 AAL Hom 0.4019391052631579
SWU4 AAL Hom 0.5524238421052632
SWU4 AAL Hom 0.4155367894736842
SWU4 AAL Hom 0.42173870175438605
SWU4 AAL Hom 0.4355674385964912
SWU4 AAL Hom 0.5075822982456141
SWU4 AAL Hom 0.5148319649122808
SWU4 AAL Hom 0.3572420877192982
SWU4 AAL Hom 0.3719245438596491
SWU4 AAL Hom 0.30784807017543864
SWU4 AAL Hom 0.3846125614035088
SWU4 AAL Hom 0.38768743859649124
SWU4 AAL Hom 0.45796403508771927
SWU4 AAL Hom 0.3879621754385965
SWU4 AAL Hom 0.4666985087719298
SWU4 AAL Hom 0.4143144912280701
SWU4 AAL Hom 0.48239754385964917
SWU4 AAL Hom 0.5448046140350877
SWU4 AAL Hom 0.39979003508771926
SWU4 AAL Hom 0.43285661403508774
SWU4 AAL Hom 0.40868908771929824
SWU4 AAL Hom 0.4590150350877193
SWU4 AAL Hom 0.4669851578947368
SWU4 AAL Hom 0.5097119122807018
SWU4 AAL Hom 0.4908091228070175
SWU4 AAL Hom 0.6185776140350877
SWU4 AAL Hom 0.4587353157894737
SWU4 AAL Hom 0.3453132631578947
SWU4 AAL Hom 0.4414504561403509
SWU4 AAL Hom 0.43963352631578945
SWU4 AAL Hom 0.3839692105263158
SWU4 AAL Hom 0.488727701754386
SWU4 AAL Hom 0.4306933157894737
SWU4 AAL Hom 0.34886475438596487
SWU4 AAL Hom 0.5361886666666666
SWU4 AAL Hom 0.4520157894736842
SWU4 AAL Hom 0.5129789824561404
SWU4 AAL Hom 0.3746842631578947
SWU4 AAL Hom 0.3654092105263158
SWU4 AAL Hom 0.497766701754386
SWU4 AAL Hom 0.5320257017543859
SWU4 AAL Hom 0.3857822280701754
SWU4 AAL Hom 0.49546078947368416
SWU4 AAL Hom 0.4009596315789474
SWU4 AAL Hom 0.5524178421052631
SWU4 AAL Hom 0.31869899999999995
SWU4 AAL Hom 0.35941091228070177
SWU4 AAL Hom 0.4623117368421053
SWU4 AAL Hom 0.5035795964912281
SWU4 AAL Hom 0.3937561929824562
SWU4 AAL Hom 0.42183077192982454
SWU4 AAL Hom 0.36118600000000006
SWU4 AAL Hom 0.4754328245614035
SWU4 AAL Hom 0.49982428070175433
SWU4 AAL Hom 0.43040287719298237
SWU4 AAL Hom 0.34411636842105264
SWU4 AAL Hom 0.4703266140350877
SWU4 AAL Hom 0.3476879649122807
SWU4 AAL Hom 0.4649218070175439
SWU4 AAL Hom 0.41659829824561406
SWU4 AAL Hom 0.4242307894736842
SWU4 AAL Hom 0.4116862280701754
SWU4 AAL Hom 0.3467115964912281
SWU4 AAL Hom 0.47047361403508764
SWU4 AAL Hom 0.3766159473684211
SWU4 AAL Hom 0.4470987719298245
SWU4 AAL Hom 0.4800926666666666
SWU4 AAL Hom 0.45439659649122804
SWU4 AAL Hom 0.45613478947368424
SWU4 AAL Hom 0.38785212280701753
SWU4 AAL Hom 0.39850396491228074
SWU4 AAL Hom 0.42645198245614035
SWU4 AAL Hom 0.3946833684210526
SWU4 AAL Hom 0.4827794912280702
SWU4 AAL Hom 0.4111485263157895
SWU4 AAL Hom 0.41641421052631583
SWU4 AAL Hom 0.3872481754385965
SWU4 AAL Hom 0.40454615789473686
SWU4 AAL Hom 0.4014639122807018
SWU4 AAL Hom 0.5191971754385966
SWU4 AAL Hom 0.3110727368421053
SWU4 AAL Hom 0.37186366666666665
SWU4 AAL Hom 0.47280843859649124
SWU4 AAL Hom 0.4067028421052632
SWU4 AAL Hom 0.3999885789473684
